givenname,surname,displayname,street,city,state,social_security
John,Valuk,John Valuk,,,,1234567890
John,Emdall,John Emdall,,,,1234567891
John,Gant,John Gant,,,,1234567892
John,Parker,John Parker,,,,1234567893
John,Barnett,John Barnett,,,CA,1234567894
John,Bigboote,John Bigboote,1 Yoyodyne Drive,Trenton,NJ,1234567895
John,Whorfin,John Whorfin,,,,1234567896
John,Ya Ya,John Ya Ya,1 Yoyodyne Drive,Trenton,NJ,1234567897
John,O'Connor,John O'Connor,1 Yoyodyne Drive,Trenton,NJ,1234567898
John,Gomez,John Gomez,1 Yoyodyne Drive,Trenton,NJ,1234567899
John,Smallberries,John Smallberries,1 Yoyodyne Drive,Trenton,NJ,1234567900

